CoreNumber,ReductionMethod,ToolNumber,LithicArtifactClass,Completeness,EvidenceBipolarPercussion,TechnicalCategory,CortexArea,PlatformCortex,CortexLocation,DorsalScarCount,DorsalDirection,ArisOrientation,FlakeProfile,ProfileTwisted?,Mass,MaxLength,TechLength,MaxWidth,MaxTechWidth,MaxThickness,MidThickness,PlatformWidth,PlatformThickness,ExteriorPlatAngle,Curvature,FlakeTermination,PlatformPrep,NumberPlatformScars,DorsalPrep,PlatAbrasion,FractureInitiationPoint,PlatformDelineation,FissuringOnPlatform,MarksVentralSurface,Lipping,PlatformMorphology,EdgeDamage,DiagnosticImpactFractures,Notes
d11,freehand,50,CompFlake,,No,B1,0%,No,,2,Unidirectional,,Converging,No,0.84,25.19,25.18,13.44,10.66,2.92,3.09,3.82,1.56,2.34,0.8,Feather,NotPrepared,,HingedRemovals,Yes,Centered,OverhangCurveBreak,PartialFissure,HertzianCone,NoLip,OvularOrTriangular,No,,
d11,freehand,61,CompFlake,,No,B1,0%,No,,3,Unidirectional,Parallel,Paralell,No,0.24,21.99,21.99,6.67,6.67,1.33,1.32,0.64,0.4,0,0.2,Splintered,Indeterminate,,HingedRemovals,Yes,Lateral,Indeterminate,None,HingedBulb,NoLip,Punctiform,No,,
d11,freehand,67,CompFlake,,No,B1,0%,No,,6,Bidirectional,Parallel,Paralell,No,0.34,27.09,27.09,9.54,8.24,1.83,1.6,0.89,0.62,0,0.3,Splintered,NotPrepared,,HingedRemovals,Yes,Indeterminate,RegCurve,None,HertzianCone,SmallOrPartialLip,Punctiform,No,,
d11,freehand,69,BrokenButNearlyComplete,Complete,No,A3,91-99%,Indeterminate,WholeDorsal,1,Indeterminate,,,No,1.26,30.24,30.24,10.92,9.15,4.78,4.77,0,0,0,0.4,Feather,Indeterminate,,Indeterminate,Indeterminate,Indeterminate,Indeterminate,CompleteFissure,ErrailuerScar,Indeterminate,Crushed,No,,
d11,freehand,78,Shatter,,,,11-40%,,,0,,,,,1,22.3,0,11.19,0,5.59,0,0,0,0,0,,,,,,,,,,,,,,
d11,freehand,79,CompFlake,,No,B1,0%,No,,5,Bidirectional,Parallel,Expanding,No,1.78,32.05,29.31,18.06,14.38,4.39,4.38,4.97,2.31,2.62,1.1,Splintered,NotPrepared,,HingedRemovals,Yes,Centered,OverhangCurveBreak,PartialFissure,HertzianCone,NoLip,OvularOrTriangular,No,,
d11,freehand,83,FlakeFrag,Proximal,,B1,0%,No,,3,Unidirectional,Parallel,,No,0.24,14.67,0,5.33,4.83,1.2,0,0.99,0.44,0,0,,NotPrepared,,HingedRemovals,Yes,Indeterminate,RegCurve,None,HertzianCone,NoLip,Punctiform,No,,
d11,freehand,85,FlakeFrag,Proximal,,B6,41-60%,No,RightLateral,2,Unidirectional,,,No,0.48,11.6,0,9.27,9.19,4.45,0,4.62,0.87,0,0,,NotPrepared,,HingedRemovals,Yes,NotExpressed,Double,None,HingedBulb,NoLip,Indeterminate,No,,
d11,freehand,87,Shatter,,,,0%,,,0,,,,,0.1,9.09,0,10.97,0,1.7,0,0,0,0,0,,,,,,,,,,,,,,
d11,freehand,88,CompFlake,,No,B1,0%,No,,3,Unidirectional,Parallel,Paralell,No,0.19,15.9,15.92,4.87,4.86,1.47,1.26,0.97,0.47,0,0,Splintered,NotPrepared,,LateralNotching,Yes,Indeterminate,RegCurve,None,HertzianCone,NoLip,Punctiform,No,,
