DateOfDataEntry,Flaking condition,CoreNumber,ToolNumber,QuartzGrain,QuartzGrainSize,QuartzPlane,LithicArtifactClass,Completeness,EvidenceBipolarPercussion,ReboundForce,TechnicalCategory,FlakeProfile,CortexArea,PlatformCortex,CortexLocation,DorsalScarCount,DorsalDirection,ArisOrientation,CrossSectionType,ProfileTwisted?,FlakeTermination,PlatformPrep,NumberPlatformScars,DorsalPrep,PlatAbrasion,FractureInitiationPoint,PlatformDelineation,FissuringOnPlatform,MarksVentralSurface,Lipping,PlatformMorphology,EdgeDamage,DiagnosticImpactFractures,MaxLength,TechLength,MaxWidth,MaxTechWidth,MaxThickness,MidThickness,PlatformWidth,PlatformThickness,ExteriorPlatAngle,EPACaliper,Mass,Curvature,Notes,Photograph
02.18.16,Bipolar,8,10,Grain_Present,Coarse_Grain,Plane_Present,CompFlake,Complete,Yes,Yes,B7,Parallel,11-40%,YesComplete,LeftLateral,1,,,,No,Crushed,NotPrepared,,None,No,NotExpressed,OverhangCurveNoBreak,None,None,NoLip,OvularOrTriangular,No,,9.56,9.56,8.09,7.66,3.62,3.62,6.19,3.53,1.57,Small,0.39,0,,Yes
02.23.16,Bipolar,2,10,Grain_Absent,,Plane_Present,FlakeFrag,Proximal,Yes,Yes,,,0%,No,,1,,,,No,,NotPrepared,,None,No,NotExpressed,RegCurve,CompleteFissure,Crushing,NoLip,Crushed,No,,0,0,0,0,2.34,0,5.22,0.79,0.89,Small,0.31,0,,Yes
02.23.16,Bipolar,14,10,Grain_Present,Coarse_Grain,Plane_Present,FlakeFrag,Mesial,Yes,Yes,,,91-99%,,WholeDorsal,1,,,,No,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.47,0,,Yes
03.01.16,Freehand,4,10,Grain_Absent,,Plane_Present,FlakeFrag,Fragment,No,No,,,1-9%,,Indeterminate,1,,,,No,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.52,0,,No
03.01.16,Freehand,1,10,Grain_Absent,,Plane_Present,FlakeFrag,Fragment,No,No,,,1-9%,,Indeterminate,3,Indeterminate,Indeterminate,Other,Yes,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.69,0,,No
03.01.16,Freehand,14,10,Grain_Absent,,Plane_Present,CompFlake,Complete,No,No,B1,Parallel,1-9%,YesComplete,LeftLateral,3,Unidirectional,Convergent,Domed,No,Feather,NotPrepared,,None,No,NotExpressed,RegCurve,None,None,NoLip,QuadrangularTrapezoid,No,,11.56,11.32,11.98,12.32,5.04,3.84,7.45,5.29,2.01,Small,0.73,0,,No
03.03.16,Freehand,7,10,Grain_Absent,,Plane_Present,CompFlake,Complete,No,No,B1,Parallel,0%,YesComplete,,1,,,,No,Feather,NotPrepared,,None,No,Centered,OverhangCurveBreak,None,HertzianCone,NoLip,OvularOrTriangular,No,,11.23,9.95,11.35,8.8,4.47,3.31,8.04,5.17,2.32,Small,0.46,0.3,,No
02.23.16,Bipolar,18,10,Grain_Present,Fine_Grain,Plane_Present,CompFlake,Complete,Yes,No,B7,Parallel,11-40%,No,DistalRightLat,2,Unidirectional,Parallel,Triangular,No,Crushed,NotPrepared,,None,No,NotExpressed,RegCurve,PartialFissure,Crushing,NoLip,Crushed,No,,16.2,16.2,7.66,7.07,2.92,2.91,2.64,0.88,0.72,Small,0.37,0.05,,Yes
02.25.16,Bipolar,15,10,Grain_Absent,,Plane_Present,FlakeFrag,Proximal,Yes,No,,,11-40%,No,Indeterminate,1,,,,No,,NotPrepared,,None,No,NotExpressed,RegCurve,PartialFissure,Crushing,NoLip,Crushed,No,,0,0,0,0,5.44,0,2.33,0.64,1.12,Small,0.53,0,,No
02.25.16,Bipolar,9,10,Grain_Absent,,Plane_Present,FlakeFrag,LeftLateral,Indeterminate,Yes,,,0%,,,2,Bidirectional,Indeterminate,Other,No,,,,,,,,,,,,No,,0,0,0,0,4.96,0,0,0,0,Big,0.5,0,,No
03.03.16,Freehand,5,10,Grain_Absent,,Plane_Present,FlakeFrag,Mesial,No,No,,,11-40%,,RightLateral,2,BiOrUni,Parallel,Trapezoidal,No,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.49,0,nice bladelet mid section,Yes
03.03.16,Freehand,8,10,Grain_Absent,,Plane_Present,FlakeFrag,Mesial,No,No,,,11-40%,,Indeterminate,1,,,,Yes,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.48,0,,No
02.25.16,Bipolar,11,10,Grain_Absent,,Plane_Present,FlakeFrag,Proximal,Indeterminate,Yes,,,0%,YesComplete,,2,BiOrUni,Parallel,Triangular,No,,NotPrepared,,None,No,Lateral,RegCurve,PartialFissure,Crushing,NoLip,QuadrangularTrapezoid,No,,0,0,0,0,5.12,0,4.73,3.76,2.67,Small,0.69,0,,No
02.25.16,Bipolar,7,10,Grain_Absent,,Plane_Present,FlakeFrag,Proximal,Yes,Yes,,,0%,No,,3,BiOrUni,Indeterminate,Trapezoidal,No,,NotPrepared,,None,No,NotExpressed,RegCurve,CompleteFissure,ShearedBulb,NoLip,Crushed,No,,0,0,0,0,3,0,2.29,0.72,0.59,Small,0.56,0,,Yes
03.01.16,Freehand,15,10,Grain_Absent,,Plane_Present,CompFlake,Complete,No,No,B1,Expanding,0%,No,,2,Unidirectional,Parallel,Trapezoidal,No,Axial,NotPrepared,,None,No,Lateral,OverhangCurveBreak,None,HertzianCone,NoLip,OvularOrTriangular,No,,14.06,13.71,11.51,11.45,2.85,2.96,2.22,1.15,1.22,Small,0.44,0.3,,Yes
